	dataset	spec	ionization	formula	smiles	inchikey	instrument
0	atmomaccs	msg-train_0	[M]+	C16H17NO4	COc1cc(C(Cc2ccccc2)NC(C)=O)oc(=O)c1	VFMQMACUYWGDOJ-UHFFFAOYSA-N	simulated
1	atmomaccs	msg-train_1	[M]+	C18H22O5	CC1CCCC(=O)CCCC=Cc2cc(O)cc(O)c2C(=O)O1	MBMQEIFVQACCCH-UHFFFAOYSA-N	simulated
2	atmomaccs	msg-train_2	[M]+	C22H23N5O4	C=CC(C)(C)C1(CC2NC(=O)C(=Cc3cnc[nH]3)NC2=O)C(=O)N(O)c2ccccc21	GIYROBMIPLLHQE-UHFFFAOYSA-N	simulated
3	atmomaccs	msg-train_3	[M]+	C10H12O4	CC1CC2OC2C=CC(=O)CC(=O)O1	MXRJZFNJVFPSQN-UHFFFAOYSA-N	simulated
4	atmomaccs	msg-train_4	[M]+	C18H16O9	COC1=CC(=O)c2c(O)c3c(c(O)c2C1=O)CC1(C)OC(C(=O)O)CC3O1	HNMWDXUKPJZOQD-UHFFFAOYSA-N	simulated
5	atmomaccs	msg-train_5	[M]+	C18H22N2O2	CC(=O)OC1C(C)CN(C)C2Cc3c[nH]c4cccc(c34)C12	GJSSYQDXZLZOLR-UHFFFAOYSA-N	simulated
6	atmomaccs	msg-train_6	[M]+	C34H59N3O9	CCC(C)C1C(=O)OC(C(C)C)C(=O)N(C)C(C(C)C)C(=O)OC(C(C)C)C(=O)N(C)C(C(C)C)C(=O)OC(C(C)C)C(=O)N1C	UQCSETXJXJTMKO-UHFFFAOYSA-N	simulated
7	atmomaccs	msg-train_7	[M]+	C17H22O8	CC(=O)OC1C(O)C2OC3C=C(C)C(=O)C(O)C3(CO)C1(C)C21CO1	XGCUCFKWVIWWNW-UHFFFAOYSA-N	simulated
8	atmomaccs	msg-train_8	[M]+	C15H12O5	COc1cc(O)c2c(O)c3c(=O)cc(C)oc3cc2c1	FPNKCZKRICBAKG-UHFFFAOYSA-N	simulated
9	atmomaccs	msg-train_9	[M]+	C29H38O8	CC1=CC(=O)OCC23CCC(C)=CC2OC2CC(OC(=O)C=CC=CC(C(C)O)OCC1)C3(C)C21CO1	KEEQQEKLEZRLDS-UHFFFAOYSA-N	simulated
10	atmomaccs	msg-train_10	[M]+	C17H14O7	COc1cc2c(c3oc(=O)c4c(c13)CCOC4=O)C1CCOC1O2	WPCVRWVBBXIRMA-UHFFFAOYSA-N	simulated
11	atmomaccs	msg-train_11	[M]+	C21H18N4O2	CC1NC(=O)C(Cc2c[nH]c3ccccc23)n2c1nc1ccccc1c2=O	SUVZUTHVKIBYOH-UHFFFAOYSA-N	simulated
12	atmomaccs	msg-train_12	[M]+	C28H33N5O3	C=CC(C)(C)C12CC3C(=O)NC(=Cc4cn(C(C)(C)CC(C)=O)cn4)C(=O)N3C1Nc1ccccc12	IOMOQUZQAXSJJI-UHFFFAOYSA-N	simulated
