name	split
gecko_100675	train
gecko_87935	train
gecko_95772	train
gecko_83998	train
gecko_121725	train
gecko_160324	train
gecko_37003	train
gecko_705	train
gecko_124487	train
gecko_73163	train
gecko_24182	train
gecko_137517	train
gecko_84917	train
gecko_110840	train
gecko_158905	train
gecko_46172	train
gecko_128221	train
gecko_121953	train
gecko_124484	train
gecko_19845	train
gecko_20299	train
gecko_120575	train
gecko_69450	train
gecko_28976	train
gecko_149702	train
gecko_14051	train
gecko_45442	train
gecko_128168	train
gecko_124724	train
gecko_90648	train
gecko_3132	train
gecko_8167	train
gecko_23696	train
gecko_30420	train
gecko_43471	train
gecko_6123	train
gecko_52185	train
gecko_150814	train
gecko_28820	train
gecko_60947	train
gecko_55633	train
gecko_73858	train
gecko_12670	train
gecko_149869	train
gecko_53287	train
gecko_46758	train
gecko_164855	train
gecko_68557	train
gecko_72449	train
gecko_82928	train
gecko_60853	train
gecko_37027	train
gecko_691	train
gecko_34777	train
gecko_27626	train
gecko_117442	train
gecko_93161	train
gecko_36532	train
gecko_132460	train
gecko_161123	train
gecko_134698	train
gecko_67605	train
gecko_16664	train
gecko_41874	train
gecko_6576	train
gecko_46911	train
gecko_49168	train
gecko_140154	train
gecko_135325	train
gecko_20952	train
gecko_80273	train
gecko_36940	train
gecko_99401	train
gecko_85976	train
gecko_140572	train
gecko_32452	train
gecko_66052	train
gecko_30858	train
gecko_146294	train
gecko_128306	train
gecko_36590	train
gecko_28691	train
gecko_72376	train
gecko_101924	train
gecko_152174	train
gecko_22108	train
gecko_2880	train
gecko_92093	train
gecko_128988	train
gecko_129732	train
gecko_24400	train
gecko_150158	train
gecko_39323	train
gecko_44305	train
gecko_34742	train
gecko_54479	train
gecko_127561	train
gecko_69144	train
gecko_51836	train
gecko_37744	train
gecko_52565	train
gecko_116193	train
gecko_22289	train
gecko_109638	train
gecko_132882	train
gecko_67518	train
gecko_28060	train
gecko_46095	train
gecko_138466	train
gecko_162186	train
gecko_107338	train
gecko_81101	train
gecko_69731	train
gecko_142331	train
gecko_136581	train
gecko_61029	train
gecko_21622	train
gecko_54299	train
gecko_31316	train
gecko_131449	train
gecko_119194	train
gecko_75522	train
gecko_84107	train
gecko_126069	train
gecko_62963	train
gecko_5157	train
gecko_109905	train
gecko_130990	train
gecko_18245	train
gecko_43869	train
gecko_20907	train
gecko_120970	train
gecko_96807	train
gecko_99447	train
gecko_77258	train
gecko_163049	train
gecko_128754	train
gecko_119602	train
gecko_88870	train
gecko_27647	train
gecko_93568	train
gecko_120410	train
gecko_36744	train
gecko_134943	train
gecko_80266	train
gecko_137537	train
gecko_75527	train
gecko_1451	train
gecko_74195	train
gecko_98948	train
gecko_94219	train
gecko_15869	train
gecko_129976	train
gecko_157069	train
gecko_2542	train
gecko_148952	train
gecko_155830	train
gecko_166283	train
gecko_66877	train
gecko_101737	train
gecko_61704	train
gecko_24832	train
gecko_323	train
gecko_46186	train
gecko_158473	train
gecko_104799	train
gecko_141097	train
gecko_141704	train
gecko_48986	train
gecko_42756	train
gecko_1684	train
gecko_23548	train
gecko_64549	train
gecko_25688	train
gecko_72759	train
gecko_148079	train
gecko_36318	train
gecko_117524	train
gecko_93921	train
gecko_106813	train
gecko_52333	train
gecko_42858	train
gecko_64864	train
gecko_118236	train
gecko_137009	train
gecko_57250	train
gecko_31949	train
gecko_28371	train
gecko_156374	train
gecko_130117	train
gecko_114075	train
gecko_54237	train
gecko_8588	train
gecko_37054	train
gecko_128919	train
gecko_145868	train
gecko_13000	train
gecko_26153	train
gecko_131925	train
gecko_159025	train
gecko_18339	train
gecko_50863	train
gecko_69334	train
gecko_31582	train
gecko_86896	train
gecko_121608	train
gecko_3323	train
gecko_66338	train
gecko_140152	train
gecko_132667	train
gecko_15678	train
gecko_48694	train
gecko_39077	train
gecko_12628	train
gecko_95558	train
gecko_164222	train
gecko_49653	train
gecko_92728	train
gecko_92475	train
gecko_61278	train
gecko_75922	train
gecko_121729	train
gecko_146316	train
