""	"dataset"	"spec"	"ionization"	"formula"	"smiles"	"inchikey"	"instrument"
"0"	"yee"	"LDY-1619"	"[M]+"	"C17H44O4Si4"	"na"	"na"	"GCxGC HRToFMS"
"1"	"yee"	"LDY-1988"	"[M]+"	"C17H44O4Si4"	"na"	"na"	"GCxGC HRToFMS"
"2"	"yee"	"LDY-3831"	"[M]+"	"C17H30O4Si"	"na"	"na"	"GCxGC HRToFMS"
"3"	"yee"	"LDY-5380"	"[M]+"	"C17H30O4Si"	"na"	"na"	"GCxGC HRToFMS"
"4"	"yee"	"LDY-6914"	"[M]+"	"C15H30O4Si2"	"na"	"na"	"GCxGC HRToFMS"
"5"	"yee"	"LDY-6915"	"[M]+"	"C13H24O3Si"	"na"	"na"	"GCxGC HRToFMS"
"6"	"yee"	"LDY-6916"	"[M]+"	"C16H32O4Si2"	"na"	"na"	"GCxGC HRToFMS"
"7"	"yee"	"LDY-6918"	"[M]+"	"C13H26O5Si2"	"na"	"na"	"GCxGC HRToFMS"
"8"	"yee"	"LDY-6922"	"[M]+"	"C10H22O4Si2"	"na"	"na"	"GCxGC HRToFMS"
"9"	"yee"	"LDY-6924"	"[M]+"	"C10H16O2"	"na"	"na"	"GCxGC HRToFMS"
"10"	"yee"	"LDY-6928"	"[M]+"	"C13H24O3Si"	"na"	"na"	"GCxGC HRToFMS"
"11"	"yee"	"LDY-6932"	"[M]+"	"C9H27O4PSi3"	"na"	"na"	"GCxGC HRToFMS"
"12"	"yee"	"LDY-6938"	"[M]+"	"C13H32O4Si3"	"na"	"na"	"GCxGC HRToFMS"
"13"	"yee"	"LDY-6944"	"[M]+"	"C12H14O4"	"na"	"na"	"GCxGC HRToFMS"
"14"	"yee"	"LDY-6945"	"[M]+"	"C12H36O4Si5"	"na"	"na"	"GCxGC HRToFMS"
"15"	"yee"	"LDY-6956"	"[M]+"	"C11H24O4Si2"	"na"	"na"	"GCxGC HRToFMS"
"16"	"yee"	"LDY-6968"	"[M]+"	"C12H32O3Si3"	"na"	"na"	"GCxGC HRToFMS"
"17"	"yee"	"LDY-6973"	"[M]+"	"C9H20O4Si2"	"na"	"na"	"GCxGC HRToFMS"
"18"	"yee"	"LDY-6975"	"[M]+"	"C15H30O4Si2"	"na"	"na"	"GCxGC HRToFMS"
"19"	"yee"	"LDY-6977"	"[M]+"	"C14H42O7Si7"	"na"	"na"	"GCxGC HRToFMS"
"20"	"yee"	"LDY-6988"	"[M]+"	"C13H30O5Si3"	"na"	"na"	"GCxGC HRToFMS"
"21"	"yee"	"LDY-7003"	"[M]+"	"C11H22O4Si2"	"na"	"na"	"GCxGC HRToFMS"
"22"	"yee"	"LDY-7017"	"[M]+"	"C12H26O2Si"	"na"	"na"	"GCxGC HRToFMS"
"23"	"yee"	"LDY-7036"	"[M]+"	"C10H16O2"	"na"	"na"	"GCxGC HRToFMS"
"24"	"yee"	"LDY-7073"	"[M]+"	"C11H24O2Si"	"na"	"na"	"GCxGC HRToFMS"
"25"	"yee"	"LDY-7078"	"[M]+"	"C10H14O2Si"	"na"	"na"	"GCxGC HRToFMS"
"26"	"yee"	"LDY-7079"	"[M]+"	"C16H36O5Si3"	"na"	"na"	"GCxGC HRToFMS"
"27"	"yee"	"LDY-7480"	"[M]+"	"C15H30O4Si2"	"na"	"na"	"GCxGC HRToFMS"
"28"	"yee"	"LDY-7481"	"[M]+"	"C13H24O3Si"	"na"	"na"	"GCxGC HRToFMS"
"29"	"yee"	"LDY-7484"	"[M]+"	"C16H32O4Si2"	"na"	"na"	"GCxGC HRToFMS"
"30"	"yee"	"LDY-7485"	"[M]+"	"C10H22O4Si2"	"na"	"na"	"GCxGC HRToFMS"
"31"	"yee"	"LDY-7496"	"[M]+"	"C12H14O4"	"na"	"na"	"GCxGC HRToFMS"
"32"	"yee"	"LDY-7506"	"[M]+"	"C10H16O2"	"na"	"na"	"GCxGC HRToFMS"
"33"	"yee"	"LDY-7511"	"[M]+"	"C11H24O4Si2"	"na"	"na"	"GCxGC HRToFMS"
"34"	"yee"	"LDY-7522"	"[M]+"	"C13H30O5Si3"	"na"	"na"	"GCxGC HRToFMS"
"35"	"yee"	"LDY-7526"	"[M]+"	"C15H30O4Si2"	"na"	"na"	"GCxGC HRToFMS"
"36"	"yee"	"LDY-7531"	"[M]+"	"C13H24O3Si"	"na"	"na"	"GCxGC HRToFMS"
"37"	"yee"	"LDY-7562"	"[M]+"	"C16H36O5Si3"	"na"	"na"	"GCxGC HRToFMS"
"38"	"yee"	"LDY-9773"	"[M]+"	"C15H24O2"	"na"	"na"	"GCxGC HRToFMS"
"39"	"yee"	"LDY-9774"	"[M]+"	"C20H38O4Si2"	"na"	"na"	"GCxGC HRToFMS"
"40"	"yee"	"LDY-9775"	"[M]+"	"C18H32SiO3"	"na"	"na"	"GCxGC HRToFMS"
"41"	"yee"	"LDY-9776"	"[M]+"	"C14H22O3"	"na"	"na"	"GCxGC HRToFMS"
"42"	"yee"	"LDY-9777"	"[M]+"	"C17H30O4Si"	"na"	"na"	"GCxGC HRToFMS"
"43"	"yee"	"LDY-9778"	"[M]+"	"C17H30O4Si"	"na"	"na"	"GCxGC HRToFMS"
"44"	"yee"	"LDY-9808"	"[M]+"	"C18H32SiO3"	"na"	"na"	"GCxGC HRToFMS"
"45"	"yee"	"LDY-9967"	"[M]+"	"C15H24O2"	"na"	"na"	"GCxGC HRToFMS"
"46"	"yee"	"LDY-10808"	"[M]+"	"C17H30O4Si"	"na"	"na"	"GCxGC HRToFMS"
"47"	"yee"	"LDY-10849"	"[M]+"	"C18H32O3Si"	"na"	"na"	"GCxGC HRToFMS"
"48"	"yee"	"LDY-15193"	"[M]+"	"C17H34O2Si"	"na"	"na"	"GCxGC HRToFMS"
"49"	"yee"	"LDY-16033"	"[M]+"	"C13H16O4Si"	"na"	"na"	"GCxGC HRToFMS"
"50"	"yee"	"LDY-16210"	"[M]+"	"C12H30O4Si3"	"na"	"na"	"GCxGC HRToFMS"
"51"	"yee"	"LDY-16318"	"[M]+"	"C11H16O2SSi"	"na"	"na"	"GCxGC HRToFMS"
"52"	"yee"	"LDY-16333"	"[M]+"	"C14H27O4Si"	"na"	"na"	"GCxGC HRToFMS"
"53"	"yee"	"LDY-16557"	"[M]+"	"C15H18OSi"	"na"	"na"	"GCxGC HRToFMS"
"54"	"yee"	"LDY-16564"	"[M]+"	"C16H22O4"	"na"	"na"	"GCxGC HRToFMS"
"55"	"yee"	"LDY-16582"	"[M]+"	"C25H50"	"na"	"na"	"GCxGC HRToFMS"
